status,reason,slug,name,category,scheme_code,amc_id,amc_name,holder_slug,holder_rows,in_parsed_json
OK,holdings_linked,union-small-cap-fund-direct-plan,Union Small Cap Fund - Direct Plan,Small Cap,129649,26,Union,union-small-cap-fund-direct-plan,,yes
OK,holdings_linked,quant-small-cap-fund-growth-option-direct-plan,quant Small Cap Fund,Small Cap,120828,15,Quant,quant-small-cap-fund-growth-option-direct-plan,,yes
OK,holdings_linked,aditya-birla-sun-life-value-fund-growth-direct-plan,Aditya Birla Sun Life Value Fund,Value,119659,7,Aditya Birla Sun Life,aditya-birla-sun-life-value-fund-growth-direct-plan,,yes
OK,holdings_linked,axis-value-fund-direct-plan,Axis Value Fund - Direct Plan,Value,149166,29,Axis,axis-value-fund-direct-plan,,yes
OK,holdings_linked,bandhan-value-fund-direct-plan,Bandhan Value Fund - Direct Plan,Value,118481,25,Bandhan,bandhan-value-fund-direct-plan,,yes
OK,holdings_linked,baroda-bnp-paribas-value-fund-direct-plan,Baroda BNP Paribas Value Fund - Direct Plan,Value,151755,12,Baroda BNP,baroda-bnp-paribas-value-fund-direct-plan,,yes
OK,holdings_linked,canara-robeco-value-fund-direct-plan,Canara Robeco Value Fund - Direct Plan,Value,149085,24,Canara Robeco,canara-robeco-value-fund-direct-plan,,yes
OK,holdings_linked,dsp-value-fund-direct-plan,DSP Value Fund - Direct Plan,Value,148595,19,DSP,dsp-value-fund-direct-plan,,yes
OK,holdings_linked,groww-value-fund-formerly-known-as-indiabulls-value-fund-direct-plan,Groww Value Fund (formerly known as Indiabulls Value Fund) - Direct Plan,Value,135341,37,Groww,groww-value-fund-formerly-known-as-indiabulls-value-fund-direct-plan,,no
OK,holdings_linked,hdfc-value-fund-growth-option-direct-plan,HDFC Value Fund,Value,118935,9,HDFC,hdfc-value-fund-growth-option-direct-plan,,yes
MISSING,amc_has_other_funds_only,icici-prudential-value-fund-erstwhile-value-discovery-fund-direct-plan,ICICI Prudential Value Fund (erstwhile Value Discovery Fund) - Direct Plan,Value,120323,5,ICICI Prudential,icici-prudential-dividend-yield-equity-fund; icici-prudential-elss-tax-saver-fund-direct-plan; icici-prudential-focused-equity-fund-direct-plan,,no
OK,holdings_linked,iti-value-fund-direct-plan,ITI Value Fund - Direct Plan,Value,148972,14,ITI,iti-value-fund-direct-plan,,yes
OK,holdings_linked,lic-mf-value-fund-direct-plan,LIC MF Value Fund-Direct Plan,Value,152018,4,LIC,lic-mf-value-fund-direct-plan,,yes
MISSING,amc_has_other_funds_only,mahindra-manulife-value-fund-direct-plan,Mahindra Manulife Value Fund - Direct Plan,Value,153303,28,Mahindra Manulife,mahindra-manulife-innovation-opportunities-fund; mahindra-manulife-consumption-fund-direct-plan,,yes
OK,holdings_linked,quant-value-fund-growth-option-direct-plan,Quant Value Fund,Value,149335,15,Quant,quant-value-fund-growth-option-direct-plan,,yes
OK,holdings_linked,sundaram-value-fund-direct-plan,Sundaram Value Fund Direct Plan,Value,119549,11,Sundaram,sundaram-value-fund,,yes
OK,holdings_linked,uti-value-fund-direct-plan,UTI Value Fund - Direct Plan,Value,120751,8,UTI,uti-value-fund-direct-plan,,yes
OK,holdings_linked,union-value-fund-direct-plan,Union Value Fund - Direct Plan,Value,145473,26,Union,union-value-fund-direct-plan,,yes
